date,text,likes,comments,shares,post_url,page_name
2025-08-09 15:11:26+00:00,"retail therapy  real therapy 

myzudio",8,0,0,https://www.facebook.com/reel/1918680072328720/,MyZudio
2025-08-09 06:30:23+00:00,"why watch others when you can wear it first 

myzudio",31,0,1,https://www.facebook.com/reel/24273550882296792/,MyZudio
2025-08-08 12:33:45+00:00,"brace yourselffomos about to hit 

myzudio",3,0,0,https://www.facebook.com/reel/1550113656359258/,MyZudio
2025-08-07 15:20:29+00:00,"affordable adorable check  check 

tc apply

myzudio",9,0,1,https://www.facebook.com/reel/1884433085463116/,MyZudio
2025-08-07 05:30:24+00:00,"this is not a drill  its 399 or less now 

tc apply

myzudio",42,2,1,https://www.facebook.com/reel/1252107906109928/,MyZudio
2025-08-06 08:43:08+00:00,"we said no more shoppingthen zudio dropped a sale 

tc apply

myzudio",2,1,0,https://www.facebook.com/reel/804373958933070/,MyZudio
2025-08-05 14:32:18+00:00,"the 10 reasons everyones in love this week 

tc apply

myzudio",30,1,0,https://www.facebook.com/reel/1418184956130798/,MyZudio
2025-08-05 08:30:01+00:00,"tried making plans everyones busy apparently 

tc apply

myzudio",3,0,0,https://www.facebook.com/reel/2015074848899181/,MyZudio
2025-08-03 11:32:11+00:00,"this is your sign get up go shop now

tc apply

myzudio",29,2,0,https://www.facebook.com/reel/1523095975521981/,MyZudio
2025-08-02 08:39:31+00:00,"pov you saw the prices and forgot how to blink 

tc apply

myzudio",36,1,1,https://www.facebook.com/reel/4224311004557659/,MyZudio
2025-08-01 09:28:50+00:00,"love starts at the door so does the sale

sale is live

tc apply

myzudio",27,0,0,https://www.facebook.com/reel/1305742501161233/,MyZudio
2025-07-31 15:38:54+00:00,"me not buying anything this month 
also me at the zudio sale 

tc apply

myzudio",40,0,0,https://www.facebook.com/reel/1456371362028366/,MyZudio
2025-07-31 03:30:49+00:00,"hands off my style 
sale is live
499 or less 
tc apply

myszudio",24,2,0,https://www.facebook.com/reel/760789443561633/,MyZudio
2025-07-30 14:34:16+00:00,"countdown begins zudio sale goes live tomorrow set a reminder

myzudio",14,0,1,https://www.facebook.com/reel/739050978850629/,MyZudio
2025-07-29 14:36:35+00:00,"all these hearts are dropping a secret are you ready to catch it 

myzudio",60,2,0,https://www.facebook.com/reel/1131320569045375/,MyZudio
2025-07-28 14:28:10+00:00,"follow the 

myzudio",10,0,0,https://www.facebook.com/reel/1974046746756682/,MyZudio
2025-07-19 08:19:41+00:00,"last day left to be the next face of zudio 
drop a  if you have already entered

tc apply

walktheaww 
myzudio",10,1,0,https://www.facebook.com/reel/934799858791944/,MyZudio
2025-07-18 15:03:36+00:00,"clocks ticking runways waiting you youve got 2 days and chance to walktheaww

tc apply

walktheaww 
zudiorunway 
myzudio",1,0,0,https://www.facebook.com/reel/1484407349398806/,MyZudio
2025-07-17 13:50:28+00:00,"last season we walked the runway this season were watching whos next  submit your walk walktheaww zudiorunway

tc apply

walktheaww 
myzudio",8,0,1,https://www.facebook.com/reel/2645264079017400/,MyZudio
2025-07-17 12:48:30+00:00,"last season we walked the runway this season were watching whos next  submit your walk walktheaww zudiorunway

tc apply

myzudio 
walktheaww",4,0,0,https://www.facebook.com/reel/3688637904606567/,MyZudio
2025-07-14 14:35:55+00:00,"turn the store into your stage or your skate park either wayeyes on you walktheaww

tc apply

walktheaww 
myzudio",49,2,2,https://www.facebook.com/reel/708378001991274/,MyZudio
2025-07-14 06:24:49+00:00,"face of zudio the spotlight could be yours walktheaww

tc apply

walktheaww 
myzudio",10,1,1,https://www.facebook.com/reel/3655894401385943/,MyZudio
2025-07-09 12:46:22+00:00,"drop an aww  in the comments to find out whats coming 

myzudio",6,0,0,https://www.facebook.com/reel/752482017309552/,MyZudio
2025-07-02 13:44:18+00:00,"if drip too hard were a group project 3 

myzudio",16,0,0,https://www.facebook.com/reel/1300115054816517/,MyZudio
2025-07-02 13:29:31+00:00,,6,1,0,https://www.facebook.com/reel/608633275604379/,MyZudio
2025-06-30 14:12:55+00:00,"no bad sides just vibes  

myzudio",7,0,0,https://www.facebook.com/reel/934343298798589/,MyZudio
2025-06-27 10:10:18+00:00,"tap on the circle to skip the fomo 
myzudio",14,1,0,https://www.facebook.com/reel/1432625207867178/,MyZudio
2025-06-27 09:20:49+00:00,,88,1,8,https://www.facebook.com/reel/768082928976968/,MyZudio
2025-06-26 13:39:48+00:00,"your closet just texted it needs this 
myzudio",59,0,1,https://www.facebook.com/reel/2599963757014044/,MyZudio
2025-06-24 12:05:37+00:00,"steps in sync 
myzudio",11,0,0,https://www.facebook.com/reel/946566514204619/,MyZudio
2025-06-20 11:33:36+00:00,"rainproof kicks just in 
myzudio",29,0,2,https://www.facebook.com/reel/2115230422317743/,MyZudio
2025-06-18 11:32:06+00:00,"which alter ego are you picking today
myzudio",7,0,0,https://www.facebook.com/reel/726258963193783/,MyZudio
2025-06-17 15:00:42+00:00,"accessorize like its self care
myzudio",6,0,0,https://www.facebook.com/reel/1493475818303103/,MyZudio
2025-06-16 14:17:46+00:00,"dripping in citrus and sass
myzudio",8,1,0,https://www.facebook.com/reel/1382760999443148/,MyZudio
2025-06-15 11:27:33+00:00,"caught a vibe and dressed for it 
myzudio",3,0,0,https://www.facebook.com/reel/2178892929286813/,MyZudio
2025-06-13 15:01:48+00:00,"this fridays forecast fruity with a chance of florals 
myzudio",1,0,0,https://www.facebook.com/reel/1216511736415186/,MyZudio
2025-06-13 13:14:31+00:00,"how many are you gonna grab 
myzudio",52,1,3,https://www.facebook.com/reel/4090325571286482/,MyZudio
2025-06-08 14:33:48+00:00,"if these tees could talk theyd be yappers fs 

myzudio",1,0,0,https://www.facebook.com/MyZudio/posts/pfbid02cn4KqjWuk6frv8K3zF4QCKiy8irSd2t9tizHm1gg4R8Em65qutdEopsCmra4NuqWl,MyZudio
2025-06-07 11:30:13+00:00,"us in our denim era

myzudio",12,1,0,https://www.facebook.com/reel/2095409737637269/,MyZudio
