type,caption,comments_count,likes_count,timestamp
Sidecar,"plot twist prices just dropped like majorly 

tc apply

myzudio",36,2563,2025-08-07 10:05:50+00:00
Image,"weve dropped the prices not the love everything you love now at 399 or less

tc apply

myzudio",51,2491,2025-08-06 18:32:21+00:00
Image,"weve dropped the prices not the love everything you love now at 399 or less

tc apply

myzudio",4,914,2025-08-06 18:31:13+00:00
Video,"why watch others when you can wear it first 

myzudio",34,3080,2025-08-09 06:30:15+00:00
Video,"brace yourselffomos about to hit 

myzudio",14,888,2025-08-08 12:33:27+00:00
Video,"affordable adorable check  check 

tc apply

myzudio",26,2478,2025-08-07 15:20:20+00:00
Video,"retail therapy  real therapy 

myzudio",35,2051,2025-08-09 15:11:15+00:00
Video,"tried making plans everyones busy apparently 

tc apply

myzudio",40,2079,2025-08-05 08:29:51+00:00
Video,"we said no more shoppingthen zudio dropped a sale 

tc apply

myzudio",19,2350,2025-08-06 08:42:58+00:00
Video,"this is not a drill  its 399 or less now 

tc apply

myzudio",269,31545,2025-08-07 05:29:50+00:00
Image,"sale is live and love is officially in the store

tc apply

myzudio",56,2311,2025-07-30 18:31:21+00:00
Image,"weve dropped the prices not the love everything you love now at 399 or less

tc apply

myzudio",120,1455,2025-08-06 18:33:11+00:00
Video,"hands off my style 
sale is live
499 or less 
tc apply

myzudio",215,11249,2025-07-31 03:30:32+00:00
Sidecar,"prices just dropped temperatures just rose

tc apply

myzudio",78,5958,2025-08-01 15:13:09+00:00
Image,"sale is live and love is officially in the store

tc apply

myzudio",359,3942,2025-07-30 18:32:41+00:00
Video,"love starts at the door so does the sale

sale is live

tc apply

myzudio",87,6625,2025-08-01 09:28:39+00:00
Sidecar,"pov you saw the prices and forgot how to blink 

tc apply

myzudio",38,1838,2025-08-02 14:01:46+00:00
Video,"pov you saw the prices and forgot how to blink 

tc apply

myzudio",114,18828,2025-08-02 08:39:21+00:00
Image,"sale is live and love is officially in the store

tc apply

myzudio",154,5045,2025-07-30 18:32:04+00:00
Sidecar,"which fit are you picking first tell us in the comments

sale is live
499 or less 
tc apply

myzudio",920,88720,2025-07-31 08:38:21+00:00
Video,"countdown begins zudio sale goes live tomorrow set a reminder

myzudio",145,5108,2025-07-30 14:34:07+00:00
Video,"this is your sign get up go shop now

tc apply

myzudio",95,12837,2025-08-03 11:32:02+00:00
Video,"last season we walked the runway this season were watching whos next  submit your walk walktheaww zudiorunway

tc apply

walktheaww 
myzudio",32,2915,2025-07-17 13:50:14+00:00
Sidecar,"drumroll please  
we found the faces that made us say aww with their walks 

myzudio walktheaww",80,2594,2025-07-25 06:07:39+00:00
Video,"clocks ticking runways waiting you youve got 2 days and chance to walktheaww

tc apply

walktheaww 
zudiorunway 
myzudio",37,1051,2025-07-18 15:03:18+00:00
Video,"the zudio runway is back and its your turn to serve 
step up and send in your walk

tc apply

walktheaww thezudiorunway
myzudio",30,1839,2025-07-18 05:54:29+00:00
Sidecar,"the next face of zudio is waiting to be discovered could it be you walktheaww

tc apply

walktheaww
myzudio",38,2873,2025-07-13 06:01:02+00:00
Sidecar,"you are the next face of zudio
swipe 

walktheaww
myzudio 

tc apply",115,1387,2025-07-11 15:18:12+00:00
Video,"follow the 

myzudio",56,4815,2025-07-28 14:28:01+00:00
Video,"face of zudio the spotlight could be yours walktheaww

tc apply

walktheaww 
myzudio",50,2908,2025-07-14 06:24:29+00:00
Image,"cuter than your everyday fruit bowl 
myzudio",18,779,2025-06-18 15:01:15+00:00
