channel_name,date,likes,comments_count,view_count,title
Naina Saikia,2024-09-12 15:00:47+00:00,0,6,229640,zudio new collection zudio pinterest fyp explore zudiohaul zudiofinds
Dikshu Vlogs,2025-07-02 04:24:37+00:00,1200,13,153164,zudio sale 2025  zudio sale on 1 july viralvideo zudio zudiosale2025 fashion shorts trend
Vanshika Singh,2024-10-26 05:09:57+00:00,5600,16,513222,zudio find lovely jewellery launch  affordable prices zudio zudiohaul trending viralvideo
Jaaimanivel,2025-08-12 11:31:00+00:00,14000,467,201422,bottle    mass karthi  part1  jaaimanivel
shimic my home,2025-06-18 17:17:19+00:00,1900,17,276686,zudio summer collection 2025  zudio latest collection 2025  zudio zudio shorts trending
Pratibha Chand,2025-06-16 09:49:39+00:00,1100,4,174247,zudio summer latest collection zudio summercollection fashion lifestyle pratibhachand shorts
Explore With Abdul ,2025-03-24 14:04:54+00:00,14000,203,3290378,zudio paavangal  shorts zudio
shimic my home,2025-01-01 11:08:05+00:00,1200,8,175373,zudio new year sale 2025  zudio sale 2025  winter sale  zudio sale zudio shortfeed shorts
Dewansh Soni Official,2024-09-13 13:30:33+00:00,10000,29,587195,zudio ka naya stock  minivlog tranding viralshorts zudio
AswathyAchu,2025-08-07 10:13:09+00:00,60,0,6401,zudio sale under 399 shopping minivlog
Shivani ka Safarnama,2025-08-13 05:02:23+00:00,0,1,2428,things i got from zudio on sale  zudiohaul bestdeals viralshorts ashortaday
Vibe With Chinchuzz,2025-06-15 08:31:48+00:00,29000,54,1266717,500 zudio challengehow can i buy this much products from zudio with500zudio minivlog challenge
Sanjukta Saha,2025-07-16 17:27:19+00:00,419,12,18045,omg zudios newest collections are  durga pujo shopping
Ayush Shukla,2025-08-07 10:30:15+00:00,0,23,76494,how zudio earned 8300 cr offline
Pearl Unbox,2025-08-13 11:54:34+00:00,8,0,1036,zudio sale haul part 2 shorts ytshorts sale zudio zudiohaulvideo zudiosale zudiofinds ugc
Vels Life Routine,2025-01-19 11:43:55+00:00,7500,23,138520,999 299   zudio sale  tamil  vel
Explore With Sangita,2025-08-13 08:39:20+00:00,378,5,7808,zudio sale  shopping       mini vlog
Gunasree Koyilada,2025-08-12 07:30:15+00:00,399,4,20237,zudio saleshortsfeed viralvideo trending youtube zudio westside mumbai gunasree telugu fun
Vashu Aulakh (Kriti),2025-08-12 12:45:42+00:00,880,2,108582,shocking zudio store experience  damaged makeup products  zudio budgetshopping ytshorts
shimic my home,2025-07-13 05:07:30+00:00,718,12,71832,zudio summer collection 2025  latest collection 2025  zudio  zudio sale 2025 zudio trending
TANIIYAA ,2024-04-10 12:03:36+00:00,33000,112,1254382,zudio shopping haul  makeuphaul skincarehaul zudiohaul zudio viralproducts shoppinghaul
HER Wardrobe,2025-08-01 13:26:27+00:00,485,4,47546,zudio 499 or less sale trendingshorts shopping fashion sale zudioindia zudio zudioshopping
Foodie Bharathi,2024-02-24 10:32:00+00:00,3600,15,345380,zudio shopping  tshirts finds under 199rs shorts zudio zudiofinds shopping dmart vlog
RAHUL R V,2025-08-09 14:14:11+00:00,907,26,166368,zudio sale kochi zudio kochi kerala trendingshorts youtubeshorts
URONCHONDI MEGHNA,2025-06-16 12:45:10+00:00,3700,38,156963,zudio collection in june    minivlog dailyshorts daily shopping  dailyvlog fun
Aalsi Ayushi,2025-04-22 12:14:38+00:00,76,1,11949,zudio heels under 399  budgetfriendly footwear  zudio april collection 2025
SUSMITA SUS,2024-09-02 11:05:10+00:00,0,193,3361411,what make up products you should get from zudio with a simple yes or no
Gen-Z Way,2025-07-24 15:38:01+00:00,39000,108,882320,why zudio not online income reality
Akanksha's lifestyle,2025-08-12 17:20:04+00:00,10,0,1380,zudio sale loot lo shopping shoppingvlog shoppinghaul zudio zudiohaul vlogger vlog zara
Vlogsofsona,2025-08-06 14:17:34+00:00,16000,45,367007,zudio vlog
Sakshi Sahay,2025-05-13 09:49:10+00:00,2400,13,300536,zudio summer collection 2025  zudio latest collection 2025  zudio haul  zudio shopping  zudio
Wanderers Live,2025-04-16 07:53:37+00:00,27000,729,1544861,5000 rs at zudio vs 5000 rs at zara challenge  haul
Ritvik joshi,2023-07-23 06:01:58+00:00,178000,206,4382837,shoes or sleepers 199 onlyat zudioviralshort trandingshorts zudiohaul shorts
Origin Creator,2023-12-06 09:30:18+00:00,894,1,42034,why zudio is so cheap and westside so expensive
ShoppingshuruwithAashi,2025-08-12 06:00:02+00:00,56,0,2010,reliance smart bazaar offers 2025  smart bazaar grocery shopping buy 1 get 1 offers views viral
CNBC-TV18,2025-08-12 15:30:04+00:00,14,0,806,look ahead to tomorrows trade what are key event  markets forward  stock market news  cnbc tv18
BolBhidu,2025-08-12 08:30:28+00:00,1700,555,75073,election commission       rahul gandhi bjp
Aakash Chopra,2025-08-12 01:30:06+00:00,23000,1877,717791,did viratrohit retire from the wrong format
shimic my home,2025-08-08 10:59:20+00:00,112,18,13994,zudio sale 2025  zudio summer collection 2025  zudio new collection  zudio shopping  zudio sale
The Peppy Persona,2025-08-12 09:42:23+00:00,6,1,1252,zudio footwear sale shortsfeed shortsvideo zudio shortsviral shortsyoutube shopping shorts
Fragrantix,2025-08-12 15:01:15+00:00,507,236,7592,rating my top collection worst to best backup worthy in 2025 fragrantix affordableperfumes
BuzzFeed India,2025-07-10 13:01:34+00:00,831,13,39476,who said beauty has to come at a cost  zudio makeup
Shopping Secrets ,2025-08-08 04:30:27+00:00,21,0,3315,zudio sale is live zudio new arrivals zudio sale 2025 zudio august latest collection zudio sale
shimic my home,2025-08-13 14:12:03+00:00,11,2,685,zudio summer collection 2025  zudio new collection  zudio  zudio sale 2025 zudio trending
get ready with karthik,2023-08-25 12:20:35+00:00,102000,400,2480606,zudio offer sale scamnothing is worth for money in zudio watch before buying in zudio zudio
UGC_by Sakshi ,2025-07-01 09:50:19+00:00,458,20,91760,westside and zudio sale zudio zudioshoppingvlog zudioindia zudiohaulvideo
Enna panna porom 360,2025-08-01 05:00:39+00:00,870,6,72952,zudio laa meha offers shortvideos zudio zudioshoppingvlog
Rushali Tambe ,2025-07-31 15:54:22+00:00,1600,29,218859,zudio sale alert
Shivani Garg,2025-06-12 12:11:15+00:00,2100,10,174814,zudio summer collection june zudiohaulvideo zudiohaul zudiofashion zudio zudioindia fashion
