category,price,original_price,rating,rating_count,scraped_date,size,color,material,discount_percentage,availability,is_bestseller,return_policy,delivery_time,trending,customer_reviews,cleaned_category
Men Tshirts,628,857,4.8,3497,2025-08-02,XXL,Green,Cotton Blend,26.72,In Stock,False,30 days,7 days,False,459,men tshirt
Men Tshirts,875,986,4.0,726,2025-08-02,XL,Grey,Silk,11.26,Only 1 Left,False,30 days,6 days,False,430,men tshirt
Men Tshirts,631,784,4.2,3354,2025-08-02,XL,Grey,Cotton,19.52,Few Left,False,30 days,4 days,False,301,men tshirt
Men Tshirts,694,944,4.0,4377,2025-08-02,XL,Pink,Denim,26.48,Only 1 Left,True,30 days,4 days,False,222,men tshirt
Men Tshirts,499,568,4.4,4141,2025-08-02,L,Red,Cotton,12.15,Only 1 Left,False,30 days,4 days,False,207,men tshirt
Men Tshirts,577,707,4.6,2587,2025-08-02,XS,Olive,Silk,18.39,Few Left,True,30 days,4 days,False,497,men tshirt
Men Tshirts,426,538,4.3,4069,2025-08-02,M,Yellow,Silk,20.82,Back in Stock,False,30 days,6 days,False,374,men tshirt
Men Tshirts,554,897,4.3,2351,2025-08-02,S,Purple,Silk,38.24,Back in Stock,False,30 days,3 days,True,235,men tshirt
Men Tshirts,588,870,3.6,3904,2025-08-02,L,White,Denim,32.41,Limited Stock,False,30 days,5 days,False,336,men tshirt
Men Tshirts,428,691,4.1,860,2025-08-02,3XL,Brown,Linen,38.06,Few Left,False,30 days,2 days,False,333,men tshirt
Men Tshirts,580,834,4.3,3840,2025-08-02,S,Beige,Cotton Blend,30.46,In Stock,False,30 days,2 days,False,262,men tshirt
Men Tshirts,778,1046,3.7,2480,2025-08-02,XXL,Red,Polyester,25.62,In Stock,False,30 days,5 days,False,109,men tshirt
Men Tshirts,877,1119,4.1,106,2025-08-02,XL,Brown,Cotton Blend,21.63,In Stock,False,30 days,6 days,False,371,men tshirt
Men Tshirts,600,775,4.2,2308,2025-08-02,L,Green,Cotton,22.58,Back in Stock,False,30 days,3 days,False,467,men tshirt
Men Tshirts,582,937,4.0,982,2025-08-02,XXL,Orange,Polyester,37.89,Back in Stock,False,30 days,7 days,False,462,men tshirt
Men Tshirts,449,683,4.1,3913,2025-08-02,XL,Yellow,Denim,34.26,Only 1 Left,True,30 days,7 days,False,38,men tshirt
Men Jeans,1344,1563,3.8,89,2025-08-02,XS,Grey,Linen,14.01,In Stock,False,30 days,2 days,False,135,men jean
Men Jeans,1118,1394,3.6,1582,2025-08-02,3XL,Yellow,Linen,19.8,Limited Stock,True,30 days,2 days,False,204,men jean
Men Jeans,1308,1733,3.9,447,2025-08-02,3XL,Black,Denim,24.52,Only 1 Left,False,30 days,7 days,False,10,men jean
Men Jeans,1266,1495,4.5,2213,2025-08-02,XL,Green,Polyester,15.32,In Stock,True,30 days,3 days,False,273,men jean
Men Jeans,1004,1280,3.7,1120,2025-08-02,XL,Beige,Polyester,21.56,Only 1 Left,False,30 days,2 days,False,358,men jean
Men Jeans,1501,1795,4.0,2084,2025-08-02,L,Navy,Denim,16.38,In Stock,False,30 days,6 days,True,241,men jean
Men Jeans,1241,1399,4.3,4616,2025-08-02,L,Purple,Cotton Blend,11.29,Limited Stock,False,30 days,7 days,False,22,men jean
Men Jeans,1739,1971,3.8,3959,2025-08-02,S,Orange,Cotton Blend,11.77,Limited Stock,False,30 days,7 days,False,485,men jean
Men Jeans,1129,1323,4.1,1063,2025-08-02,M,Navy,Cotton Blend,14.66,Limited Stock,False,30 days,5 days,False,348,men jean
Men Jeans,1888,1926,4.0,3572,2025-08-02,XS,Maroon,Linen,1.97,Few Left,False,30 days,6 days,False,402,men jean
Men Jeans,1524,1690,3.6,3524,2025-08-02,XXL,Brown,Linen,9.82,Only 1 Left,False,30 days,7 days,False,419,men jean
Men Jeans,1689,1697,3.7,143,2025-08-02,M,Beige,Cotton Blend,0.47,Few Left,False,30 days,2 days,False,177,men jean
Men Jeans,1205,1844,3.6,4419,2025-08-02,XS,Yellow,Silk,34.65,In Stock,False,30 days,2 days,False,0,men jean
Men Jeans,933,1154,4.6,4798,2025-08-02,XS,Grey,Polyester,19.15,Only 1 Left,False,30 days,7 days,False,55,men jean
Men Jeans,1294,1311,4.6,783,2025-08-02,3XL,Maroon,Cotton,1.3,Back in Stock,False,30 days,6 days,False,285,men jean
Men Jeans,983,1144,4.7,3774,2025-08-02,3XL,Pink,Linen,14.07,Few Left,False,30 days,7 days,False,404,men jean
Men Shirts,1073,1132,3.6,1867,2025-08-02,XL,Beige,Cotton Blend,5.21,Back in Stock,False,30 days,2 days,False,446,men shirt
Men Shirts,716,1015,4.2,3624,2025-08-02,S,Brown,Denim,29.46,Limited Stock,True,30 days,2 days,False,413,men shirt
Men Shirts,1031,1089,4.8,2855,2025-08-02,M,Blue,Polyester,5.33,Only 1 Left,False,30 days,7 days,False,440,men shirt
Men Shirts,988,1147,4.4,1133,2025-08-02,M,White,Denim,13.86,Few Left,False,30 days,4 days,False,374,men shirt
Men Shirts,708,784,4.3,543,2025-08-02,XS,Blue,Denim,9.69,Only 1 Left,False,30 days,2 days,False,352,men shirt
Men Shirts,762,959,3.8,831,2025-08-02,XXL,Red,Cotton,20.54,Back in Stock,False,30 days,4 days,False,110,men shirt
Men Shirts,995,1066,4.2,2012,2025-08-02,3XL,Purple,Cotton Blend,6.66,Only 1 Left,True,30 days,2 days,False,233,men shirt
Men Shirts,813,1094,3.7,2892,2025-08-02,S,Blue,Denim,25.69,Few Left,False,30 days,2 days,False,419,men shirt
Men Shirts,1409,1486,4.4,2704,2025-08-02,XS,Grey,Silk,5.18,Only 1 Left,False,30 days,2 days,False,275,men shirt
Men Shirts,880,959,4.1,2330,2025-08-02,XXL,Pink,Polyester,8.24,Limited Stock,False,30 days,4 days,False,121,men shirt
Men Shirts,1001,1020,3.8,646,2025-08-02,S,Maroon,Silk,1.86,Back in Stock,False,30 days,7 days,False,228,men shirt
Men Shirts,732,1376,3.9,2462,2025-08-02,XL,Beige,Silk,46.8,Only 1 Left,False,30 days,3 days,False,459,men shirt
Men Shirts,1122,1242,4.6,877,2025-08-02,3XL,Black,Denim,9.66,Limited Stock,True,30 days,7 days,False,422,men shirt
Men Shirts,1346,2878,4.2,118,2025-08-02,3XL,Brown,Cotton Blend,53.23,Only 1 Left,False,30 days,4 days,False,327,men shirt
Men Shirts,736,904,4.5,1313,2025-08-02,XS,Maroon,Denim,18.58,In Stock,False,30 days,7 days,False,497,men shirt
Men Shirts,1250,1463,3.7,501,2025-08-02,L,Olive,Linen,14.56,Only 1 Left,True,30 days,5 days,False,461,men shirt
Women Dresses,1728,2505,3.9,2246,2025-08-02,XL,Navy,Cotton Blend,31.02,Limited Stock,False,30 days,5 days,True,65,women dress
Women Dresses,1759,2009,4.5,1518,2025-08-02,S,White,Linen,12.44,Limited Stock,False,30 days,6 days,False,487,women dress
Women Dresses,1177,1433,3.5,2183,2025-08-02,XL,Beige,Cotton Blend,17.86,Limited Stock,False,30 days,4 days,True,466,women dress
Women Dresses,1418,1614,3.9,2125,2025-08-02,3XL,Grey,Denim,12.14,Back in Stock,False,30 days,6 days,False,295,women dress
Women Dresses,1122,1425,4.7,3185,2025-08-02,XS,Purple,Denim,21.26,Back in Stock,False,30 days,6 days,False,163,women dress
Women Dresses,1566,1735,3.8,1522,2025-08-02,XL,Green,Cotton,9.74,Few Left,False,30 days,4 days,False,160,women dress
Women Dresses,1429,1592,4.1,375,2025-08-02,L,Green,Linen,10.24,Limited Stock,False,30 days,5 days,False,340,women dress
Women Dresses,1430,1557,4.4,1898,2025-08-02,XL,Maroon,Silk,8.16,Few Left,False,30 days,3 days,False,393,women dress
Women Dresses,1480,1684,4.4,1993,2025-08-02,S,Beige,Polyester,12.11,Only 1 Left,False,30 days,3 days,False,480,women dress
Women Dresses,1419,1710,4.1,1735,2025-08-02,XS,Olive,Linen,17.02,Limited Stock,False,30 days,3 days,False,268,women dress
Women Dresses,1568,1626,4.4,2901,2025-08-02,3XL,Pink,Cotton,3.57,Few Left,False,30 days,2 days,False,121,women dress
Women Dresses,1519,1769,4.3,2030,2025-08-02,M,White,Silk,14.13,Back in Stock,False,30 days,3 days,True,430,women dress
Women Dresses,1751,1897,4.3,1876,2025-08-02,S,Olive,Silk,7.7,Few Left,False,30 days,6 days,False,58,women dress
Women Dresses,869,1117,3.8,3403,2025-08-02,XXL,Pink,Silk,22.2,Limited Stock,False,30 days,5 days,True,53,women dress
Women Dresses,1388,3051,3.7,966,2025-08-02,XXL,Black,Cotton Blend,54.51,Only 1 Left,False,30 days,4 days,False,463,women dress
Women Dresses,1124,1700,3.7,3937,2025-08-02,M,Maroon,Cotton Blend,33.88,Limited Stock,False,30 days,4 days,False,240,women dress
Women Tops,598,1323,3.8,3866,2025-08-02,XXL,Orange,Denim,54.8,Back in Stock,True,30 days,7 days,False,349,women top
Women Tops,758,868,4.8,1780,2025-08-02,XL,Orange,Cotton Blend,12.67,Back in Stock,False,30 days,7 days,False,239,women top
Women Tops,797,1922,4.0,1872,2025-08-02,XL,Purple,Polyester,58.53,Limited Stock,False,30 days,5 days,False,171,women top
Women Tops,1010,1025,4.4,470,2025-08-02,L,Maroon,Cotton Blend,1.46,Back in Stock,False,30 days,3 days,False,353,women top
Women Tops,860,1112,4.6,1103,2025-08-02,XS,Navy,Silk,22.66,Limited Stock,False,30 days,7 days,False,303,women top
Women Tops,506,936,4.5,2908,2025-08-02,XS,Green,Cotton Blend,45.94,Back in Stock,False,30 days,7 days,False,188,women top
Women Tops,736,980,4.1,2670,2025-08-02,M,Grey,Denim,24.9,In Stock,False,30 days,4 days,True,439,women top
Women Tops,968,1608,4.1,562,2025-08-02,S,Navy,Cotton,39.8,Few Left,False,30 days,4 days,False,387,women top
Women Tops,750,994,4.0,4410,2025-08-02,XL,Pink,Denim,24.55,Limited Stock,False,30 days,2 days,False,295,women top
Women Tops,733,1061,4.3,169,2025-08-02,L,Pink,Polyester,30.91,In Stock,True,30 days,6 days,False,139,women top
Women Tops,795,999,4.3,4342,2025-08-02,XL,Beige,Silk,20.42,Back in Stock,False,30 days,6 days,False,386,women top
Women Tops,744,856,3.9,4456,2025-08-02,M,Olive,Denim,13.08,In Stock,False,30 days,5 days,False,28,women top
Women Tops,520,763,4.1,3678,2025-08-02,XXL,Red,Cotton Blend,31.85,Only 1 Left,False,30 days,2 days,False,128,women top
Women Tops,699,824,4.8,578,2025-08-02,XXL,Pink,Denim,15.17,Back in Stock,False,30 days,7 days,False,188,women top
Women Tops,1027,2300,3.5,3173,2025-08-02,XL,Orange,Linen,55.35,Few Left,False,30 days,5 days,False,498,women top
Women Tops,654,877,3.9,4113,2025-08-02,3XL,Black,Linen,25.43,Limited Stock,True,30 days,6 days,False,250,women top
Women Jeans,1307,1532,4.6,862,2025-08-02,S,Blue,Denim,14.69,In Stock,False,30 days,7 days,False,193,women jean
Women Jeans,2012,2046,3.6,2257,2025-08-02,L,Green,Silk,1.66,In Stock,False,30 days,4 days,False,169,women jean
Women Jeans,2022,2206,4.0,1872,2025-08-02,M,Orange,Linen,8.34,In Stock,False,30 days,2 days,False,251,women jean
Women Jeans,1980,2090,4.5,230,2025-08-02,M,Red,Polyester,5.26,In Stock,False,30 days,7 days,False,397,women jean
Women Jeans,1719,1796,4.1,3119,2025-08-02,L,Brown,Denim,4.29,Few Left,False,30 days,3 days,False,276,women jean
Women Jeans,1430,1524,3.6,873,2025-08-02,M,Beige,Silk,6.17,Few Left,False,30 days,6 days,True,353,women jean
